"Week End","Week End Last Year","Region","Crude Volumes For The Week","Percent Of Capacity","4 Week Average","4 Week Average Last Year","YTD Average","YTD Average Last Year","Unit"
"12/25/1990","01/02/1990","Quebec & Eastern Canada","81.150","89.080","78.810","86.050","83.030","86.050","thousand cubic metres per day"
"12/25/1990","01/02/1990","Western Canada","65.950","77.960","68.030","63.770","70.960","63.770","thousand cubic metres per day"
"01/01/1991","01/02/1990","Ontario","81.720","79.730","81.240","83.360","81.720","83.360","thousand cubic metres per day"
"01/01/1991","01/02/1990","Quebec & Eastern Canada","80.440","89.080","79.820","86.050","80.440","86.050","thousand cubic metres per day"
"01/01/1991","01/02/1990","Western Canada","64.000","75.830","65.950","63.770","64.000","63.770","thousand cubic metres per day"
"01/08/1991","01/09/1990","Ontario","76.750","74.880","79.680","82.340","79.240","82.340","thousand cubic metres per day"
"01/08/1991","01/09/1990","Quebec & Eastern Canada","93.080","90.020","94.100","85.900","93.620","85.900","thousand cubic metres per day"
"01/08/1991","01/09/1990","Western Canada","68.240","80.850","66.000","64.370","66.120","64.370","thousand cubic metres per day"
"01/15/1991","01/16/1990","Ontario","66.040","64.430","76.730","82.340","74.840","82.340","thousand cubic metres per day"
"01/15/1991","01/16/1990","Quebec & Eastern Canada","84.080","81.320","90.970","87.880","90.440","87.880","thousand cubic metres per day"
"01/15/1991","01/16/1990","Western Canada","68.470","81.130","66.670","64.660","66.900","64.660","thousand cubic metres per day"
"01/22/1991","01/23/1990","Ontario","68.650","66.980","73.290","82.200","73.290","82.200","thousand cubic metres per day"
"01/22/1991","01/23/1990","Quebec & Eastern Canada","86.190","83.360","89.380","89.030","89.380","89.030","thousand cubic metres per day"
"01/22/1991","01/23/1990","Western Canada","66.750","79.090","66.870","65.160","66.870","65.160","thousand cubic metres per day"
"01/29/1991","01/30/1990","Ontario","68.880","67.200","70.080","82.550","72.410","82.710","thousand cubic metres per day"
"01/29/1991","01/30/1990","Quebec & Eastern Canada","90.030","87.070","88.350","89.190","89.510","88.560","thousand cubic metres per day"
"01/29/1991","01/30/1990","Western Canada","64.560","76.490","67.010","65.830","66.400","65.420","thousand cubic metres per day"
"02/05/1991","02/06/1990","Ontario","69.330","67.640","68.230","83.480","71.890","83.090","thousand cubic metres per day"
"02/05/1991","02/06/1990","Quebec & Eastern Canada","88.480","85.570","87.200","88.020","89.340","87.310","thousand cubic metres per day"
"02/05/1991","02/06/1990","Western Canada","67.050","79.440","66.710","66.270","66.510","65.630","thousand cubic metres per day"
"02/12/1991","02/13/1990","Ontario","68.020","66.360","68.720","83.350","71.340","82.910","thousand cubic metres per day"
"02/12/1991","02/13/1990","Quebec & Eastern Canada","87.990","85.100","88.180","85.360","89.140","86.440","thousand cubic metres per day"
"02/12/1991","02/13/1990","Western Canada","68.080","80.660","66.610","66.800","66.740","65.880","thousand cubic metres per day"
"02/19/1991","02/20/1990","Ontario","70.100","68.390","69.080","83.720","71.190","82.960","thousand cubic metres per day"
"02/19/1991","02/20/1990","Quebec & Eastern Canada","89.940","86.980","89.110","84.710","89.240","86.870","thousand cubic metres per day"
"02/19/1991","02/20/1990","Western Canada","67.040","79.430","66.690","67.810","66.780","66.480","thousand cubic metres per day"
"02/26/1991","02/27/1990","Ontario","69.920","68.210","69.340","83.010","71.040","82.840","thousand cubic metres per day"
"02/26/1991","02/27/1990","Quebec & Eastern Canada","94.420","91.320","90.210","85.210","89.820","87.070","thousand cubic metres per day"
"02/26/1991","02/27/1990","Western Canada","67.340","79.790","67.380","69.380","66.840","67.180","thousand cubic metres per day"
"03/05/1991","03/06/1990","Ontario","67.330","65.690","68.850","81.480","70.670","82.450","thousand cubic metres per day"
"03/05/1991","03/06/1990","Quebec & Eastern Canada","95.270","92.140","91.910","87.100","90.360","87.230","thousand cubic metres per day"
"03/05/1991","03/06/1990","Western Canada","67.020","79.410","67.370","70.900","66.860","67.740","thousand cubic metres per day"
"03/12/1991","03/13/1990","Ontario","69.900","68.200","69.310","80.300","70.600","81.960","thousand cubic metres per day"
"03/12/1991","03/13/1990","Quebec & Eastern Canada","93.320","90.250","93.240","87.800","90.630","86.940","thousand cubic metres per day"
"03/12/1991","03/13/1990","Western Canada","55.070","65.250","64.120","72.680","65.780","68.350","thousand cubic metres per day"
"03/19/1991","03/20/1990","Ontario","65.650","64.050","68.200","77.820","70.190","81.250","thousand cubic metres per day"
"03/19/1991","03/20/1990","Quebec & Eastern Canada","102.650","99.270","96.420","84.690","91.630","86.150","thousand cubic metres per day"
"03/19/1991","03/20/1990","Western Canada","67.270","79.700","64.180","73.310","65.910","68.760","thousand cubic metres per day"
"03/26/1991","03/27/1990","Ontario","58.830","57.400","65.430","77.750","69.320","81.270","thousand cubic metres per day"
"03/26/1991","03/27/1990","Quebec & Eastern Canada","92.670","89.620","95.980","82.960","91.710","85.810","thousand cubic metres per day"
"03/26/1991","03/27/1990","Western Canada","62.570","74.140","62.990","74.110","65.650","69.310","thousand cubic metres per day"
"04/02/1991","04/03/1990","Ontario","63.260","61.720","64.410","77.920","68.880","81.150","thousand cubic metres per day"
"04/02/1991","04/03/1990","Quebec & Eastern Canada","106.880","103.370","98.880","81.020","92.800","85.450","thousand cubic metres per day"
"04/02/1991","04/03/1990","Western Canada","69.970","82.900","63.720","74.850","65.960","69.770","thousand cubic metres per day"
